% sa_1 sa_2 sa_3 sa_4 sa_5 sa_6 sa_7 sa_8 sa_9 sa_10 sa_11 sa_12 sa_13
1.7103e-01 1.7110e-01 1.7475e-01 2.4158e-01 4.2960e-01 4.5987e-01 2.3450e-01 1.0092e-01 5.2763e-02 3.3139e-02 2.1052e-02 1.2308e-02 8.3391e-03
3.3090e-02 3.3469e-02 3.8098e-02 5.5192e-02 1.0209e-01 1.0618e-01 4.5445e-02 1.5808e-02 7.0945e-03 4.0021e-03 2.2392e-03 1.6088e-03 1.4026e-03
6.1322e-02 6.2013e-02 7.0434e-02 1.0295e-01 1.8810e-01 1.9582e-01 1.0886e-01 5.4058e-02 3.3086e-02 2.3145e-02 1.7224e-02 1.0827e-02 7.0955e-03
7.8024e-02 7.8870e-02 8.8483e-02 1.2931e-01 2.3684e-01 2.3774e-01 1.3096e-01 6.3762e-02 3.7929e-02 2.6440e-02 1.9415e-02 1.1998e-02 7.8280e-03
7.8165e-02 7.9504e-02 9.4976e-02 1.4470e-01 2.0443e-01 1.4771e-01 7.9022e-02 3.6788e-02 2.1882e-02 1.5173e-02 1.1288e-02 7.0228e-03 4.7201e-03
1.2147e-01 1.2348e-01 1.4529e-01 2.1948e-01 3.3104e-01 2.1617e-01 1.0334e-01 4.5324e-02 2.6696e-02 1.8645e-02 1.4037e-02 8.8543e-03 5.9119e-03
1.8515e-01 1.8766e-01 2.1447e-01 3.2076e-01 4.9851e-01 3.0906e-01 1.3722e-01 5.6661e-02 3.2584e-02 2.2795e-02 1.7283e-02 1.0929e-02 7.2821e-03
2.6813e-01 2.6532e-01 2.5157e-01 3.3378e-01 5.5770e-01 7.4478e-01 4.4147e-01 2.1678e-01 1.2324e-01 8.1049e-02 5.3570e-02 2.8519e-02 1.7408e-02
5.9078e-02 5.9755e-02 6.7862e-02 9.9768e-02 1.8403e-01 1.9055e-01 1.0650e-01 5.2865e-02 3.1959e-02 2.2471e-02 1.6708e-02 1.0536e-02 6.9234e-03
5.3863e-02 5.4784e-02 6.5946e-02 9.6946e-02 1.3706e-01 1.1107e-01 6.0163e-02 2.8787e-02 1.7301e-02 1.2009e-02 8.9555e-03 5.6756e-03 3.8892e-03
7.6050e-02 7.7392e-02 9.2710e-02 1.4027e-01 1.9733e-01 1.4407e-01 7.7447e-02 3.6587e-02 2.1500e-02 1.4809e-02 1.1051e-02 6.8910e-03 4.6424e-03
1.1670e-01 1.1868e-01 1.3984e-01 2.1150e-01 3.1742e-01 1.8960e-01 8.6045e-02 3.5802e-02 2.0803e-02 1.4371e-02 1.0928e-02 7.2542e-03 5.0142e-03
1.7878e-01 1.8001e-01 1.9162e-01 2.7203e-01 4.6814e-01 4.2504e-01 2.0962e-01 8.8468e-02 4.8672e-02 3.2255e-02 2.2725e-02 1.3581e-02 9.0037e-03
2.6255e-01 2.5976e-01 2.4679e-01 3.2779e-01 5.4634e-01 7.3363e-01 4.4170e-01 2.2051e-01 1.2561e-01 8.3228e-02 5.4970e-02 2.9182e-02 1.7696e-02
5.6903e-02 5.7577e-02 6.5682e-02 9.5932e-02 1.7565e-01 1.8318e-01 1.0302e-01 5.1292e-02 3.1194e-02 2.1923e-02 1.6355e-02 1.0350e-02 6.8137e-03
5.2381e-02 5.3263e-02 6.4081e-02 9.4913e-02 1.3322e-01 1.0840e-01 5.9408e-02 2.8308e-02 1.6949e-02 1.1783e-02 8.7906e-03 5.5894e-03 3.8407e-03
7.3017e-02 7.4293e-02 8.9144e-02 1.3413e-01 1.8778e-01 1.4007e-01 7.3779e-02 3.4772e-02 2.0733e-02 1.4260e-02 1.0616e-02 6.6416e-03 4.4897e-03
1.1140e-01 1.1320e-01 1.3315e-01 2.0143e-01 3.0339e-01 1.5458e-01 6.0864e-02 2.2843e-02 1.2869e-02 8.8310e-03 6.8344e-03 5.0041e-03 3.6926e-03
1.7305e-01 1.7326e-01 1.7810e-01 2.4685e-01 4.3829e-01 4.7201e-01 2.5309e-01 1.1445e-01 6.3414e-02 4.1522e-02 2.7823e-02 1.6043e-02 1.0418e-02
2.6226e-01 2.6139e-01 2.5885e-01 3.5416e-01 6.0430e-01 6.2104e-01 2.9508e-01 1.1719e-01 6.1064e-02 3.9684e-02 2.6994e-02 1.5744e-02 1.0574e-02
5.4430e-02 5.5049e-02 6.2712e-02 9.2744e-02 1.6859e-01 1.7708e-01 9.9560e-02 4.9689e-02 3.0148e-02 2.1299e-02 1.5900e-02 1.0094e-02 6.6626e-03
5.0708e-02 5.1573e-02 6.1891e-02 9.0918e-02 1.2836e-01 1.0468e-01 5.7590e-02 2.7835e-02 1.6609e-02 1.1467e-02 8.5618e-03 5.4648e-03 3.7642e-03
6.9580e-02 7.0785e-02 8.4596e-02 1.2705e-01 1.8021e-01 1.3335e-01 7.1028e-02 3.3256e-02 1.9816e-02 1.3727e-02 1.0236e-02 6.4316e-03 4.3589e-03
8.9254e-02 9.1251e-02 1.1221e-01 1.7046e-01 2.0242e-01 1.0706e-01 5.1966e-02 2.3393e-02 1.3914e-02 9.8122e-03 7.5246e-03 4.9488e-03 3.4266e-03
1.6995e-01 1.7013e-01 1.7488e-01 2.4340e-01 4.3423e-01 4.5957e-01 2.4450e-01 1.1094e-01 6.1419e-02 4.0152e-02 2.6878e-02 1.5487e-02 1.0057e-02
2.3881e-01 2.3666e-01 2.2710e-01 3.0399e-01 5.1369e-01 6.5183e-01 3.6316e-01 1.6505e-01 9.0307e-02 5.7324e-02 3.6452e-02 1.9885e-02 1.2733e-02
3.7023e-02 3.7422e-02 4.2424e-02 6.2229e-02 1.1442e-01 1.1437e-01 4.8105e-02 1.6815e-02 7.5608e-03 4.2519e-03 2.3966e-03 1.7089e-03 1.4805e-03
5.2859e-02 5.3711e-02 6.3991e-02 9.3955e-02 1.3992e-01 1.1887e-01 6.3831e-02 3.0644e-02 1.8162e-02 1.2710e-02 9.5189e-03 6.0962e-03 4.1674e-03
6.7159e-02 6.8330e-02 8.1998e-02 1.2267e-01 1.7364e-01 1.2938e-01 6.9327e-02 3.2233e-02 1.9209e-02 1.3390e-02 1.0032e-02 6.3279e-03 4.3032e-03
7.8683e-02 8.0399e-02 9.9127e-02 1.4983e-01 1.8603e-01 1.2054e-01 6.4519e-02 3.0433e-02 1.7973e-02 1.2344e-02 9.2330e-03 5.6774e-03 3.8760e-03
1.7143e-01 1.7173e-01 1.7740e-01 2.4700e-01 4.3887e-01 4.6459e-01 2.5384e-01 1.1854e-01 6.7912e-02 4.5537e-02 3.1329e-02 1.7900e-02 1.1329e-02
2.4963e-01 2.4750e-01 2.3799e-01 3.1813e-01 5.3938e-01 6.9008e-01 4.0314e-01 1.9530e-01 1.1164e-01 7.4078e-02 4.9565e-02 2.6541e-02 1.6210e-02
3.5420e-02 3.5826e-02 4.0699e-02 5.9117e-02 1.0918e-01 1.1175e-01 4.7088e-02 1.6315e-02 7.3512e-03 4.1267e-03 2.3075e-03 1.6499e-03 1.4329e-03
4.9878e-02 5.0626e-02 6.0118e-02 8.8393e-02 1.3176e-01 1.1344e-01 6.1017e-02 2.9239e-02 1.7441e-02 1.2174e-02 9.0842e-03 5.8517e-03 4.0167e-03
6.3025e-02 6.4091e-02 7.6707e-02 1.1463e-01 1.6187e-01 1.2216e-01 6.5818e-02 3.0773e-02 1.8183e-02 1.2701e-02 9.5468e-03 6.0473e-03 4.1260e-03
8.8290e-02 8.9973e-02 1.0875e-01 1.6508e-01 2.1852e-01 1.2065e-01 5.8386e-02 2.5748e-02 1.5227e-02 1.0666e-02 8.0852e-03 5.3405e-03 3.6982e-03
1.6675e-01 1.6704e-01 1.7321e-01 2.4418e-01 4.3182e-01 4.5682e-01 2.5334e-01 1.2051e-01 7.0493e-02 4.7824e-02 3.3374e-02 1.9027e-02 1.1911e-02
3.0468e-01 3.0608e-01 3.2160e-01 4.5752e-01 7.5510e-01 6.5120e-01 3.1324e-01 1.3110e-01 7.5938e-02 5.3207e-02 3.9140e-02 2.1993e-02 1.3484e-02
3.5228e-01 3.5462e-01 3.7575e-01 5.4319e-01 8.9903e-01 7.8182e-01 4.0320e-01 1.8309e-01 1.1170e-01 7.9906e-02 5.9005e-02 3.0887e-02 1.7763e-02
4.8000e-02 4.8777e-02 5.7994e-02 8.5080e-02 1.2611e-01 1.1032e-01 5.9932e-02 2.8599e-02 1.7071e-02 1.1888e-02 8.8524e-03 5.7042e-03 3.9199e-03
6.1530e-02 6.2619e-02 7.5244e-02 1.1188e-01 1.5702e-01 1.0338e-01 5.0763e-02 2.2362e-02 1.3058e-02 9.0992e-03 6.8793e-03 4.6831e-03 3.3230e-03
