% sa_1 sa_2 sa_3 sa_4 sa_5 sa_6 sa_7 sa_8 sa_9 sa_10 sa_11 sa_12 sa_13
1.4355e-01 1.4366e-01 1.4817e-01 2.0633e-01 3.6542e-01 4.0628e-01 2.3384e-01 1.1590e-01 6.8276e-02 4.7099e-02 3.3172e-02 1.8811e-02 1.1689e-02
2.4070e-01 2.4398e-01 2.7415e-01 4.1111e-01 6.2690e-01 3.9524e-01 2.0296e-01 9.2152e-02 5.6345e-02 4.0191e-02 2.9858e-02 1.6216e-02 9.7842e-03
1.8048e-01 1.8340e-01 2.1438e-01 3.2675e-01 4.7865e-01 3.2066e-01 1.6964e-01 7.8641e-02 4.6999e-02 3.2923e-02 2.4414e-02 1.3722e-02 8.5217e-03
1.4110e-01 1.4344e-01 1.6805e-01 2.5541e-01 3.8061e-01 2.7124e-01 1.3770e-01 6.2132e-02 3.6816e-02 2.5594e-02 1.9081e-02 1.1365e-02 7.2920e-03
5.0499e-02 5.1302e-02 6.0614e-02 8.9783e-02 1.3331e-01 7.7401e-02 3.1253e-02 1.2033e-02 6.7694e-03 4.7244e-03 3.6782e-03 2.8871e-03 2.2578e-03
7.6592e-02 7.7787e-02 9.1326e-02 1.3665e-01 2.0890e-01 1.4456e-01 6.7161e-02 2.8061e-02 1.6205e-02 1.1248e-02 8.4630e-03 5.6889e-03 4.0201e-03
1.3715e-01 1.3743e-01 1.4285e-01 2.0101e-01 3.5707e-01 3.9276e-01 2.2835e-01 1.1443e-01 6.8163e-02 4.7279e-02 3.3815e-02 1.9226e-02 1.1825e-02
2.2871e-01 2.3165e-01 2.6086e-01 3.8891e-01 5.9444e-01 3.7782e-01 1.9430e-01 8.8314e-02 5.3093e-02 3.8046e-02 2.8362e-02 1.5432e-02 9.3305e-03
1.7266e-01 1.7561e-01 2.0553e-01 3.1077e-01 4.5677e-01 3.0954e-01 1.6159e-01 7.4346e-02 4.5162e-02 3.2028e-02 2.3818e-02 1.3448e-02 8.3822e-03
1.4104e-01 1.4343e-01 1.6831e-01 2.5471e-01 3.8331e-01 2.6502e-01 1.3173e-01 5.8248e-02 3.4396e-02 2.3976e-02 1.7828e-02 1.0739e-02 6.9430e-03
4.5742e-02 4.6499e-02 5.5541e-02 8.1021e-02 1.1416e-01 6.2643e-02 2.6508e-02 1.0581e-02 6.1269e-03 4.3389e-03 3.3832e-03 2.6493e-03 2.0416e-03
6.8420e-02 6.9578e-02 8.2443e-02 1.2364e-01 1.8276e-01 9.8867e-02 3.9251e-02 1.4864e-02 8.3437e-03 5.7865e-03 4.4736e-03 3.4135e-03 2.6077e-03
1.3255e-01 1.3349e-01 1.4479e-01 2.1025e-01 3.5608e-01 3.4467e-01 1.9197e-01 9.1809e-02 5.6071e-02 3.9286e-02 2.8958e-02 1.6677e-02 1.0264e-02
2.2159e-01 2.2206e-01 2.3064e-01 3.2733e-01 5.4508e-01 5.2438e-01 2.7304e-01 1.2285e-01 7.3527e-02 5.2009e-02 3.8187e-02 2.0701e-02 1.2330e-02
1.6487e-01 1.6754e-01 1.9635e-01 2.9788e-01 4.4017e-01 3.0107e-01 1.6025e-01 7.4952e-02 4.4970e-02 3.1483e-02 2.3283e-02 1.3166e-02 8.2260e-03
1.1710e-01 1.1981e-01 1.4697e-01 2.2448e-01 2.7027e-01 1.3295e-01 6.3198e-02 2.7594e-02 1.6392e-02 1.1654e-02 8.9374e-03 5.8273e-03 3.9696e-03
4.2998e-02 4.3687e-02 5.2212e-02 7.5865e-02 1.0673e-01 5.9092e-02 2.5123e-02 1.0178e-02 5.8555e-03 4.1620e-03 3.2351e-03 2.5473e-03 1.9712e-03
5.4600e-02 5.5659e-02 6.7587e-02 9.9227e-02 1.1723e-01 6.1586e-02 2.9074e-02 1.2847e-02 7.6174e-03 5.4814e-03 4.2155e-03 3.0298e-03 2.2040e-03
1.2205e-01 1.2306e-01 1.3465e-01 1.9414e-01 3.3219e-01 3.1924e-01 1.7692e-01 8.3790e-02 5.0821e-02 3.5737e-02 2.6480e-02 1.5416e-02 9.5784e-03
2.1256e-01 2.1403e-01 2.2790e-01 3.2857e-01 5.3829e-01 4.5937e-01 2.2827e-01 1.0111e-01 6.0319e-02 4.3271e-02 3.2158e-02 1.7616e-02 1.0592e-02
1.7640e-01 1.7818e-01 1.9796e-01 2.8958e-01 4.7286e-01 4.0119e-01 2.1544e-01 1.0097e-01 6.1088e-02 4.3381e-02 3.2183e-02 1.8218e-02 1.1138e-02
1.1165e-01 1.1417e-01 1.4011e-01 2.1443e-01 2.5972e-01 1.3456e-01 6.6220e-02 2.9451e-02 1.7299e-02 1.2231e-02 9.3014e-03 5.9583e-03 4.0462e-03
4.1102e-02 4.1740e-02 4.9225e-02 7.1458e-02 1.0708e-01 6.6381e-02 2.7161e-02 1.0285e-02 5.8644e-03 4.0714e-03 3.1507e-03 2.5137e-03 1.9899e-03
5.1038e-02 5.2007e-02 6.3224e-02 9.2997e-02 1.1047e-01 5.8785e-02 2.7474e-02 1.2173e-02 7.2123e-03 5.2213e-03 4.0447e-03 2.9423e-03 2.1532e-03
1.0364e-01 1.0498e-01 1.1926e-01 1.7507e-01 2.8288e-01 2.4080e-01 1.2944e-01 6.0598e-02 3.6183e-02 2.5171e-02 1.8513e-02 1.1067e-02 7.0835e-03
1.8921e-01 1.9139e-01 2.1324e-01 3.1467e-01 4.9131e-01 3.3681e-01 1.6883e-01 7.5351e-02 4.5457e-02 3.2374e-02 2.4233e-02 1.3501e-02 8.2815e-03
1.7010e-01 1.7109e-01 1.8293e-01 2.6119e-01 4.4875e-01 4.3832e-01 2.4277e-01 1.1795e-01 7.2172e-02 5.1579e-02 3.8461e-02 2.1585e-02 1.3007e-02
1.2219e-01 1.2435e-01 1.4841e-01 2.2602e-01 3.2599e-01 2.2283e-01 1.1855e-01 5.5578e-02 3.2952e-02 2.2872e-02 1.6957e-02 9.9600e-03 6.4104e-03
3.7753e-02 3.8278e-02 4.4169e-02 6.4606e-02 1.0890e-01 9.0466e-02 3.6978e-02 1.3037e-02 6.3722e-03 4.1056e-03 3.0050e-03 2.3226e-03 1.9743e-03
5.1795e-02 5.2680e-02 6.2912e-02 9.2606e-02 1.2826e-01 6.8825e-02 2.9053e-02 1.1611e-02 6.6931e-03 4.7556e-03 3.7184e-03 2.8767e-03 2.1954e-03
9.1117e-02 9.2369e-02 1.0596e-01 1.5676e-01 2.5108e-01 2.1891e-01 1.1712e-01 5.5012e-02 3.2559e-02 2.2692e-02 1.6914e-02 1.0224e-02 6.6026e-03
1.6468e-01 1.6679e-01 1.8881e-01 2.7977e-01 4.2725e-01 2.8375e-01 1.4392e-01 6.4191e-02 3.8364e-02 2.7354e-02 2.0389e-02 1.1533e-02 7.1845e-03
1.4655e-01 1.4880e-01 1.7248e-01 2.5991e-01 3.9001e-01 2.7481e-01 1.4449e-01 6.7659e-02 4.0525e-02 2.8791e-02 2.1181e-02 1.2099e-02 7.6050e-03
1.2117e-01 1.2333e-01 1.4724e-01 2.2338e-01 3.1614e-01 2.2008e-01 1.1777e-01 5.4994e-02 3.2593e-02 2.2622e-02 1.6832e-02 9.9274e-03 6.4100e-03
9.1810e-02 9.3522e-02 1.1287e-01 1.7055e-01 2.3992e-01 1.6965e-01 9.1051e-02 4.3069e-02 2.5394e-02 1.7639e-02 1.3122e-02 7.9065e-03 5.2245e-03
4.7587e-02 4.8387e-02 5.7519e-02 8.4139e-02 1.1857e-01 6.5569e-02 2.7223e-02 1.1040e-02 6.4252e-03 4.5151e-03 3.5036e-03 2.7283e-03 2.0934e-03
7.1271e-02 7.2251e-02 8.3471e-02 1.2371e-01 1.9914e-01 1.3161e-01 5.2580e-02 1.8531e-02 9.5258e-03 6.2947e-03 4.7139e-03 3.4964e-03 2.7778e-03
1.4170e-01 1.4376e-01 1.6531e-01 2.4812e-01 3.6768e-01 2.3654e-01 1.2058e-01 5.3993e-02 3.2338e-02 2.2992e-02 1.7072e-02 9.7877e-03 6.1913e-03
1.4188e-01 1.4410e-01 1.6659e-01 2.5020e-01 3.7674e-01 2.6624e-01 1.4071e-01 6.5776e-02 3.9535e-02 2.7651e-02 2.0445e-02 1.1688e-02 7.3499e-03
1.1530e-01 1.1734e-01 1.3935e-01 2.1322e-01 3.0311e-01 2.1088e-01 1.1333e-01 5.3723e-02 3.1652e-02 2.1994e-02 1.6335e-02 9.6521e-03 6.2460e-03
9.5416e-02 9.7196e-02 1.1707e-01 1.7740e-01 2.5274e-01 1.7966e-01 9.6064e-02 4.5321e-02 2.6748e-02 1.8556e-02 1.3682e-02 8.2697e-03 5.4415e-03
4.5962e-02 4.6654e-02 5.4961e-02 8.0356e-02 1.2156e-01 7.1978e-02 2.9486e-02 1.1342e-02 6.4408e-03 4.4432e-03 3.4321e-03 2.7128e-03 2.1331e-03
5.7768e-02 5.8940e-02 7.2177e-02 1.0615e-01 1.2436e-01 6.4019e-02 2.9848e-02 1.3315e-02 7.8179e-03 5.6562e-03 4.4015e-03 3.1453e-03 2.2765e-03
1.1403e-01 1.1590e-01 1.3573e-01 2.0422e-01 2.9471e-01 1.9131e-01 9.8323e-02 4.4566e-02 2.6544e-02 1.8573e-02 1.4020e-02 8.2948e-03 5.3752e-03
1.3524e-01 1.3738e-01 1.6046e-01 2.4259e-01 3.5458e-01 2.4462e-01 1.2935e-01 6.0341e-02 3.6548e-02 2.5752e-02 1.9111e-02 1.0932e-02 6.9020e-03
1.1239e-01 1.1433e-01 1.3658e-01 2.0811e-01 2.9624e-01 2.0598e-01 1.1059e-01 5.0869e-02 3.0462e-02 2.1297e-02 1.5891e-02 9.4170e-03 6.1066e-03
9.1648e-02 9.3289e-02 1.1249e-01 1.7172e-01 2.3584e-01 1.5880e-01 8.2799e-02 3.7694e-02 2.2249e-02 1.5465e-02 1.1604e-02 7.2126e-03 4.8345e-03
4.1114e-02 4.1763e-02 4.9721e-02 7.2086e-02 1.0181e-01 5.7184e-02 2.4241e-02 9.7740e-03 5.6465e-03 4.0087e-03 3.1195e-03 2.4615e-03 1.9074e-03
5.9754e-02 6.0710e-02 7.2087e-02 1.0674e-01 1.5808e-01 8.7693e-02 3.5320e-02 1.3450e-02 7.5783e-03 5.2648e-03 4.0522e-03 3.1211e-03 2.4022e-03
9.4555e-02 9.6187e-02 1.1389e-01 1.7100e-01 2.4240e-01 1.6366e-01 8.4686e-02 3.8429e-02 2.2929e-02 1.6076e-02 1.1955e-02 7.2457e-03 4.7845e-03
1.0483e-01 1.0724e-01 1.3093e-01 1.9756e-01 2.4846e-01 1.5748e-01 8.2950e-02 3.8407e-02 2.2859e-02 1.5717e-02 1.1809e-02 6.9391e-03 4.5792e-03
1.1589e-01 1.1781e-01 1.3777e-01 2.0931e-01 3.1255e-01 2.3338e-01 1.2257e-01 5.7445e-02 3.4522e-02 2.4147e-02 1.7837e-02 1.0591e-02 6.8129e-03
9.0369e-02 9.2035e-02 1.1084e-01 1.6817e-01 2.3293e-01 1.5545e-01 8.1649e-02 3.7850e-02 2.2300e-02 1.5454e-02 1.1592e-02 7.1960e-03 4.8249e-03
3.8334e-02 3.8914e-02 4.5886e-02 6.6714e-02 1.0234e-01 6.7993e-02 2.7471e-02 1.0440e-02 5.6896e-03 3.8950e-03 2.9928e-03 2.3797e-03 1.9216e-03
4.7281e-02 4.8192e-02 5.8655e-02 8.5656e-02 1.0029e-01 5.4479e-02 2.6122e-02 1.1548e-02 6.8712e-03 5.0216e-03 3.8697e-03 2.8134e-03 2.0656e-03
8.5982e-02 8.7343e-02 1.0205e-01 1.5164e-01 2.2880e-01 1.2214e-01 4.8591e-02 1.8242e-02 1.0160e-02 7.0937e-03 5.4421e-03 4.0389e-03 3.0203e-03
1.0716e-01 1.0957e-01 1.3423e-01 2.0436e-01 2.4442e-01 1.2394e-01 6.0399e-02 2.6992e-02 1.6018e-02 1.1334e-02 8.6014e-03 5.4606e-03 3.6874e-03
1.2226e-01 1.2387e-01 1.4169e-01 2.1021e-01 3.3896e-01 2.7742e-01 1.4810e-01 6.8989e-02 4.1501e-02 2.9217e-02 2.1765e-02 1.2873e-02 8.1572e-03
9.8025e-02 9.9697e-02 1.1827e-01 1.7814e-01 2.6539e-01 1.8869e-01 9.5743e-02 4.3833e-02 2.5876e-02 1.7907e-02 1.3386e-02 8.3728e-03 5.5852e-03
3.5738e-02 3.6251e-02 4.2697e-02 6.2324e-02 9.5748e-02 6.3955e-02 2.6430e-02 1.0049e-02 5.4984e-03 3.7505e-03 2.8767e-03 2.2986e-03 1.8638e-03
4.8204e-02 4.9039e-02 5.8926e-02 8.6287e-02 1.1170e-01 5.8261e-02 2.5754e-02 1.0837e-02 6.3810e-03 4.6384e-03 3.6097e-03 2.7462e-03 2.0650e-03
7.4047e-02 7.5224e-02 8.8634e-02 1.3067e-01 1.9935e-01 1.1576e-01 4.5871e-02 1.6870e-02 9.2653e-03 6.2558e-03 4.7965e-03 3.5901e-03 2.7645e-03
9.7888e-02 1.0000e-01 1.2156e-01 1.8459e-01 2.2329e-01 1.1588e-01 5.6022e-02 2.5036e-02 1.4835e-02 1.0595e-02 8.0694e-03 5.1771e-03 3.5267e-03
1.0307e-01 1.0490e-01 1.2479e-01 1.8863e-01 2.7192e-01 1.9556e-01 1.0308e-01 4.8017e-02 2.8785e-02 2.0251e-02 1.5086e-02 9.0143e-03 5.8702e-03
8.5578e-02 8.7197e-02 1.0542e-01 1.5936e-01 2.1971e-01 1.4967e-01 7.8030e-02 3.6420e-02 2.1570e-02 1.5008e-02 1.1273e-02 7.0250e-03 4.7254e-03
8.3919e-02 8.5352e-02 1.0165e-01 1.5223e-01 2.3166e-01 1.8267e-01 9.5508e-02 4.4994e-02 2.6747e-02 1.8570e-02 1.3916e-02 8.6106e-03 5.6881e-03
